PDB_ID,Cluster
2z7i,257
3i7g,333
2v88,197
3wav,150
6qlu,0
2hwh,977
5f1u,648
3pxq,52
4qt1,52
3hcm,108
6hzx,473
2dbl,59
5h21,210
4f6u,52
5cqj,791
4kp0,115
2clf,33
4djv,250
4ng9,115
1ao8,411
3cm7,20
1ela,115
5o1c,60
5wqk,731
3hha,235
5yib,250
4yk5,406
5w2s,1083
6qs1,123
1nyy,505
3bqc,52
5kj0,210
2l6e,139
4x0u,145
4ly1,297
2p94,115
3vdc,159
1o45,96
2uzj,235
3bva,250
4std,534
3kqw,6
6h33,473
1bxo,250
1n94,342
5itd,52
4zsa,52
3r7o,52
1lhu,286
1guw,265
1xka,115
4fak,222
5wjj,52
2ra0,115
3vws,864
1nhg,509
3h2n,138
3muf,350
6bs4,119
5va9,346
6ibs,4
6b1e,101
3n5u,349
4x1r,115
4p4b,1130
3nu6,250
6ma2,2
3ebp,149
5ous,557
1y98,181
6er3,407
1e5j,39
3w2p,52
3lpu,208
2ypp,774
4zuo,297
1gx0,69
5o0a,85
4d89,250
4hlm,395
6c8x,250
5go2,18
6ckw,125
5aln,280
3jq7,509
4gkc,67
5zg0,559
5teh,52
3kmy,250
3d2t,370
6ei5,399
4gja,250
5ew3,52
1h46,796
4pnw,663
3vvy,18
4ie3,880
6die,305
3ob0,59
1m83,85
1oai,77
2oz7,58
4qvv,73
3eeb,976
3acw,43
1ggn,2
4llk,352
4utn,143
4b2i,1140
4bcg,52
6eed,16
3rak,52
1g9s,253
3zpt,250
6guc,52
3zo1,52
5ukl,52
4dv8,25
5zqu,874
5ccl,49
5ot8,158
4zeb,451
3eq7,101
4gzt,68
2qbq,252
3eq8,101
6mxb,253
5d1u,25
6eq2,23
5ap1,52
5h9q,0
3pwm,250
2r9x,141
3q3b,52
5e0h,115
4gj2,52
5f2s,231
5d1t,25
6oxq,250
6hv2,333
3sie,352
5mft,16
5mqx,398
3k3a,68
2ph8,250
3ms2,958
5xig,251
6e4u,472
5a5q,210
1kkq,58
4w9n,776
4wci,113
5zia,59
5aku,395
5v49,85
2j95,115
3f0r,297
3ery,247
4wks,264
4wtu,250
1gyx,1041
7cpa,539
6gy1,30
2os9,306
4m3e,18
1qs4,405
4i2z,65
6q9u,367
6eee,762
4wkt,264
6ncp,805
2ilp,25
4mgd,58
5orb,210
5i83,210
5cnm,373
4ft2,265
2ydt,68
4xdo,231
1cet,112
4az6,285
1ciz,333
4pxf,121
4b6p,785
1o9k,469
4gzx,68
3uwk,350
4j0p,250
5qaf,505
2wj1,246
4u71,387
5mgx,65
4dy6,450
5acy,210
3cj5,977
4obp,52
5orz,211
6pnn,89
5k8n,226
5xhr,141
2nq6,387
3i7e,250
6d56,870
3iw7,52
5v2q,21
6ajy,210
3nf9,40
4yh3,210
4g0y,90
2oz2,235
4nyt,839
4mbi,52
2xx4,399
3bys,52
6f9v,123
1il3,817
6s1s,141
6kjd,141
4k8s,250
5oh1,838
1h62,620
1nlo,113
5hv0,231
1w9u,508
2fs8,115
6pgo,269
4myq,352
3ud8,562
3jzs,367
5mgi,505
6oyz,334
4dgr,68
2gfj,4
4oyi,221
4r6t,762
4dk8,58
2vyt,1134
6c7q,210
5eg4,115
3mct,500
1h79,464
4a16,494
5nt4,395
3dkf,52
5ijj,238
6ft7,52
5mo8,52
3chc,508
2wa3,231
6g27,19
4ps3,52
3f7i,20
5orr,211
3m5e,473
5luu,210
3i97,218
4bid,52
6op9,52
6c9q,204
4nak,993
2hw2,759
4bfz,332
3pn4,1022
2e5y,913
1iup,679
3t3d,149
5oh3,838
2tsr,343
3kr4,762
5kr2,250
3jrx,356
4qwr,73
2bua,101
1msn,250
1hrn,250
2ks9,206
3po1,115
5nhz,4
1bzh,252
4cfu,52
2cvd,89
3fgc,62
3ua8,158
4qpd,694
4kow,200
1svg,52
2vnp,23
3n8n,785
1e66,494
1fo2,556
1cw2,33
3s0n,115
1nfw,115
2q54,250
5wyx,148
1p0y,49
1atr,93
2cf9,115
3kqd,115
5j7j,369
2zaz,52
3u8k,468
2x7o,52
1bap,373
5j31,65
3u7k,1022
4iku,387
4ikt,387
4leq,138
4akn,210
1urc,1104
5iay,19
5mnc,115
4x63,84
4bqy,231
4c6z,3
5gjf,52
4erz,68
5e8f,44
2xaq,678
6pnm,89
5m9w,16
6pml,492
3udd,395
4k5m,16
1db4,174
1rti,292
1mnc,333
5l2y,115
6cq0,52
2vsl,20
4zmf,52
6i75,0
5zwf,58
3tww,632
1dzm,67
2afw,1130
2vew,252
6fh7,210
1qbq,342
2x2i,97
3vf8,52
5ufo,58
3gnv,337
6ms1,63
1f4g,343
2f3f,250
3chg,158
2y06,59
5cxh,52
3si3,115
4gjc,250
6f8w,352
5ivz,805
2p93,115
4k3k,663
6c9s,204
2zu4,542
5iop,805
2nmb,383
6i5j,96
6h7o,118
6ax1,280
4bjc,395
1unh,52
5zqr,395
4ie5,231
4qfl,451
3vqh,52
6udy,94
6ccm,125
4rvk,52
3ked,16
3oag,250
5dbm,210
4wy7,59
5zdc,398
4l31,395
1hxb,250
4jr5,302
4fci,880
4rfm,52
2e2p,93
3d14,52
3qri,52
6bh1,231
3rde,422
4zh4,517
3np9,149
1w5y,250
1ox9,830
3f80,880
4rn6,115
5huy,189
6etj,350
5he4,250
4auj,448
1y3p,81
4zyf,367
6hwz,473
3wf6,52
3mmr,880
1wbo,52
1y3v,115
4rce,250
5y53,72
1azl,1141
3i6z,494
6o0o,94
6mum,52
5k48,4
1yxd,648
2of4,52
6gxe,473
5vd1,52
3rt6,158
1pop,235
1w84,52
5lyn,65
6e1a,65
5oh2,838
4f9y,52
1fkw,38
3atp,526
6pg7,68
4q08,473
1clu,119
3nrm,52
2pv2,64
5ggn,779
6cjp,399
3lox,115
4ax9,115
4f63,52
4hmk,194
5n8v,130
5hd0,250
4alw,52
1dqn,253
6uf0,272
6oip,209
5ick,130
3amb,52
5h0h,52
4lk7,338
4q1a,350
5e3g,210
5bwc,494
1b7h,451
1yyy,115
4pcs,551
2v8w,872
1ze8,473
1f7b,431
1o8b,408
6g7a,473
2hz4,52
6eq8,451
4qr3,210
1bai,250
1t2v,181
3rg2,477
2w05,52
5kdr,116
2agv,47
4jjg,112
4w7p,52
6itq,60
6f8v,352
5d2a,433
6d3z,115
3kwj,101
5thn,473
3pp0,52
2nnv,473
1o3f,115
6hb5,85
5ksv,247
4ymq,58
2cbr,67
6nzh,52
6q8k,52
6naf,566
3ioi,69
5y6f,127
2l98,369
4o7d,1048
4q6d,473
3nkx,65
3zmq,252
5l0c,173
4wz6,318
5nad,52
2hwo,52
4kin,52
1a9q,605
3kku,235
4gk2,52
1mmr,333
4btw,424
2gtk,58
4xhe,468
3qbn,52
4nj3,52
1eou,473
1fq8,250
6qgk,94
1stp,436
5wik,52
4igr,158
4qhc,505
3vbx,52
2vzr,193
1r5n,119
3cy2,52
5tpc,397
3dnt,52
1z2b,1014
3mz6,297
1txr,1130
